title,price,area,rooms,url,city,address,district
Wyjątkowe mieszkanie┃4-pok┃Centrum┃klimatyzacja,780000,120.62,4,https://www.otodom.pl/pl/oferta/wyjatkowe-mieszkanie4-pokcentrumklimatyzacja-ID4x0Ye,Opole,ul. ks. Hugona Kołłątaja ,Stare Miasto
"Słoneczne, trzypokojowe mieszkanie",565000,61,3,https://www.otodom.pl/pl/oferta/sloneczne-trzypokojowe-mieszkanie-ID4x0Up,Opole,no address,Armii Krajowej
"Mieszkanie 3-pok; 50.2 m2, Szarych Szeregów, Opole",389000,50.2,3,https://www.otodom.pl/pl/oferta/mieszkanie-3-pok-50-2-m2-szarych-szeregow-opole-ID4wPJE,Opole,ul. Szarych Szeregów ,Armii Krajowej
Mieszkanie z balkonem na  parterze – Malinka,599000,49.5,2,https://www.otodom.pl/pl/oferta/mieszkanie-z-balkonem-na-parterze-malinka-ID4x0Bx,Opole,ul. Piotrkowska ,Malinka
"Wykończone mieszkanie z balkonem – bezczynszowe,",730000,53.96,2,https://www.otodom.pl/pl/oferta/wykonczone-mieszkanie-z-balkonem-bezczynszowe-ID4x0B2,Opole,ul. Jodłowa ,Kolonia Gosławicka
"Bezczynszowe, gotowe do zamieszkania z tarasem",680000,50.83,2,https://www.otodom.pl/pl/oferta/bezczynszowe-gotowe-do-zamieszkania-z-tarasem-ID4x0AP,Opole,ul. Jodłowa ,Kolonia Gosławicka
Zielony Winów Opole,no price,,unknown number of rooms,https://www.otodom.pl/pl/oferta/zielony-winow-opole-ID4w5Uo,Opole,ul. Księdza Alojzego Ligudy ,Winów
Na sprzedaż mieszkanie do remontu w Opolu,459000,72.21,2,https://www.otodom.pl/pl/oferta/na-sprzedaz-mieszkanie-do-remontu-w-opolu-ID4x0yD,Opole,ul. Armii Krajowej ,Śródmieście
"Mieszkanie na sprzedaż, 4 pok, Opole Czarnowąsy",699000,93,4,https://www.otodom.pl/pl/oferta/mieszkanie-na-sprzedaz-4-pok-opole-czarnowasy-ID4x0xU,Opole,no address,Czarnowąsy
Na sprzedaż mieszkanie w kamienicy Opole ul.Sądowa,760000,94,3,https://www.otodom.pl/pl/oferta/na-sprzedaz-mieszkanie-w-kamienicy-opole-ul-sadowa-ID4x0xO,Opole,ul. Sądowa ,Stare Miasto
Bezczynszowe mieskzania w spokojnej okolicy,715000,64,3,https://www.otodom.pl/pl/oferta/bezczynszowe-mieskzania-w-spokojnej-okolicy-ID4vS2k,Opole,ul. Dworska ,Szczepanowice - Wójtowa Wieś
Rewelacyjna kawalerka obok Amfiteatru Opolskiego,539000,34,1,https://www.otodom.pl/pl/oferta/rewelacyjna-kawalerka-obok-amfiteatru-opolskiego-ID4tX9v,Opole,no address,Stare Miasto
"Mieszkanie,  Opole, Chabry",439000,37,2,https://www.otodom.pl/pl/oferta/mieszkanie-opole-chabry-ID4x0sq,Opole,ul. Chabrów ,Chabry
Rodzinne mieszkanie z tarasem i garażem,940000,91,5,https://www.otodom.pl/pl/oferta/rodzinne-mieszkanie-z-tarasem-i-garazem-ID4x0q6,Chmielowice,no address,Chmielowice
Sprzedam mieszkanie 3 pokojowe,560000,613,3,https://www.otodom.pl/pl/oferta/sprzedam-mieszkanie-3-pokojowe-ID4x0jJ,Opole,ul. Szarych Szeregów ,Armii Krajowej
Mieszkanie 2-pokojowe na parterze os. Chabry,405000,44.7,2,https://www.otodom.pl/pl/oferta/mieszkanie-2-pokojowe-na-parterze-os-chabry-ID4x0ek,Opole,ul. Chabrów ,Chabry
Stylowe 48m2 po generalnym remoncie - wprowadź się od razu.,539000,48,2,https://www.otodom.pl/pl/oferta/stylowe-48m2-po-generalnym-remoncie-wprowadz-sie-od-razu-ID4vTUQ,Opole,ul. Alojzego Dambonia ,Zaodrze
Kawalerka na Dambonia - świetna inwestycja,310000,26,1,https://www.otodom.pl/pl/oferta/kawalerka-na-dambonia-swietna-inwestycja-ID4vN4N,Opole,no address,Stare Miasto
Przytulne mieszkanie z kominkiem,550000,75,3,https://www.otodom.pl/pl/oferta/przytulne-mieszkanie-z-kominkiem-ID4vZSp,Opole,ul. Wrocławska ,Nadodrze
Kawalerka 2 pokojowa 25m,300000,25,2,https://www.otodom.pl/pl/oferta/kawalerka-2-pokojowa-25m-ID4vZNH,Opole,ul. Księdza Norberta Bonczyka ,Nadodrze
przestronne trzy pokoje z balkonem,629000,71.76,3,https://www.otodom.pl/pl/oferta/przestronne-trzy-pokoje-z-balkonem-ID4vZNa,Opole,no address,Zaodrze
Kawalerka w Śródmieściu,325000,33.5,1,https://www.otodom.pl/pl/oferta/kawalerka-w-srodmiesciu-ID4sUf2,Opole,no address,Stare Miasto
Słoneczne  i funkcjonalne mieszkanie na Koszyka,499000,57,3,https://www.otodom.pl/pl/oferta/sloneczne-i-funkcjonalne-mieszkanie-na-koszyka-ID4vh4E,Opole,no address,Stare Miasto
3 pokoje z balkonem |TOP lokalizacja |CO: Miejskie | REZERWACJA,460000,53.5,3,https://www.otodom.pl/pl/oferta/3-pokoje-z-balkonem-top-lokalizacja-co-miejskie-rezerwacja-ID4owvM,Opole,ul. Chabrów ,Chabry
Wyjątkowy Apartament W Sercu Opola Blisko Rynku,695000,68,2,https://www.otodom.pl/pl/oferta/wyjatkowy-apartament-w-sercu-opola-blisko-rynku-ID4wgIM,Opole,ul. Augustyna Kośnego ,Śródmieście
Sprzedam 3 pokojowe mieszkanie ZWM,475000,63.7,3,https://www.otodom.pl/pl/oferta/sprzedam-3-pokojowe-mieszkanie-zwm-ID4s2Zg,Opole,"ul. Jana Bytnara ""Rudego"" ",Armii Krajowej
"Mieszkanie, 38,30 m², Opole",370000,38.3,2,https://www.otodom.pl/pl/oferta/mieszkanie-38-30-m-opole-ID4vWZp,Opole,no address,Stare Miasto
3pokojowe z dużym ogrodem!,706445,61.43,3,https://www.otodom.pl/pl/oferta/3pokojowe-z-duzym-ogrodem-ID4wZs6,Opole,Osiedle Arkady ,Szczepanowice - Wójtowa Wieś
Osiedle Arkady - Szczepanowice! kameralna zabudowa,412764,34.98,2,https://www.otodom.pl/pl/oferta/osiedle-arkady-szczepanowice-kameralna-zabudowa-ID4wZu3,Opole,Osiedle Arkady ,Szczepanowice - Wójtowa Wieś
Nowość! 4pokojowe z tarasem oraz ogrodem!,950538,93.19,4,https://www.otodom.pl/pl/oferta/nowosc-4pokojowe-z-tarasem-oraz-ogrodem-ID4wZuK,Opole,Osiedle Arkady ,Szczepanowice - Wójtowa Wieś
Mieszkanie dwupokojowe w Dzielnicy Górskiej.,309000,39,2,https://www.otodom.pl/pl/oferta/mieszkanie-dwupokojowe-w-dzielnicy-gorskiej-ID4vYzc,Opole,no address,Chabry
Mieszkanie 2 pokoje Rybacka ścisłe centrum Opola,370000,42,2,https://www.otodom.pl/pl/oferta/mieszkanie-2-pokoje-rybacka-scisle-centrum-opola-ID4vYza,Opole,no address,Stare Miasto
Mieszkanie - 2 pokoje - ZWM,419000,48,2,https://www.otodom.pl/pl/oferta/mieszkanie-2-pokoje-zwm-ID4vYzb,Opole,no address,Armii Krajowej
"Pisankowa 9, Bierkowice",719000,75,4,https://www.otodom.pl/pl/oferta/pisankowa-9-bierkowice-ID4vHnl,Opole,ul. Pisankowa ,Bierkowice
Mieszkanie w centrum Opola - blisko dworca,345000,46,2,https://www.otodom.pl/pl/oferta/mieszkanie-w-centrum-opola-blisko-dworca-ID4ttqw,Opole,ul. Armii Krajowej ,Śródmieście
Apartament dwupoziomowy/4 pok/2 mp/duży taras!,889000,95,4,https://www.otodom.pl/pl/oferta/apartament-dwupoziomowy-4-pok-2-mp-duzy-taras-ID4vYo1,Opole,no address,Chmielowice
Mieszkanie 39m² (2 pokoje) - os. Chabrów,410000,39,2,https://www.otodom.pl/pl/oferta/mieszkanie-39m-2-pokoje-os-chabrow-ID4wOiQ,Opole,ul. Chabrów ,Chabry
"OPOLE i 4 pokoje 82,2 m2 +taras 20 m2 +garaż +mp.",650000,82.2,3,https://www.otodom.pl/pl/oferta/opole-i-4-pokoje-82-2-m2-taras-20-m2-garaz-mp-ID4rjFJ,Opole,no address,Chmielowice
3-pokojowe mieszkanie na sprzedaż z garażem i komórką lokatorską,850000,67.62,3,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-na-sprzedaz-z-garazem-i-komorka-lokatorska-ID4vGtJ,Opole,ul. Chmielowicka ,Szczepanowice - Wójtowa Wieś
Duże mieszkanie w doskonalej lokalizacji.,1069000,127,4,https://www.otodom.pl/pl/oferta/duze-mieszkanie-w-doskonalej-lokalizacji-ID4n7Wc,Opole,ul. ks. Hugona Kołłątaja ,Stare Miasto
"Mieszkanie 72 m2, po generalnym remoncie , Opole 1 go Maja",594000,72,3,https://www.otodom.pl/pl/oferta/mieszkanie-72-m2-po-generalnym-remoncie-opole-1-go-maja-ID4vdQ3,Opole,ul. 1 Maja ,Śródmieście
Opole mieszkanie 50m2 2 pokojowe Balkon Winda dla niepełnosprawnych,499000,50,2,https://www.otodom.pl/pl/oferta/opole-mieszkanie-50m2-2-pokojowe-balkon-winda-dla-niepelnosprawnych-ID4vY1J,Opole,ul. Emila Fieldorfa ,Armii Krajowej
Centrum Opola Stare miasto mieszkanie 2pokojowe po remoncie 37m2 Opole,395000,37,2,https://www.otodom.pl/pl/oferta/centrum-opola-stare-miasto-mieszkanie-2pokojowe-po-remoncie-37m2-opole-ID4vuEs,Opole,ul. Nysy Łużyckiej ,Stare Miasto
Na sprzedaż mieszkanie do remontu w Opolu,459000,72.21,2,https://www.otodom.pl/pl/oferta/na-sprzedaz-mieszkanie-do-remontu-w-opolu-ID4x0yD,Opole,ul. Armii Krajowej ,Śródmieście
"Nowa cena, Śródmieście, Balkon, Media miejskie",415000,43.38,2,https://www.otodom.pl/pl/oferta/nowa-cena-srodmiescie-balkon-media-miejskie-ID4utTU,Opole,ul. 1 Maja ,Śródmieście
