title,price,area,rooms,url,city,address,district
"Blisko centrum, świetni sąsiedzi, bez prowizji pośr., umeblowane+AGD",329000,36.66,2,https://www.otodom.pl/pl/oferta/blisko-centrum-swietni-sasiedzi-bez-prowizji-posr-umeblowane-agd-ID4vLhw,Toruń,ul. Lubicka ,Jakubskie Przedmieście
Piekne mieszkanie z dwoma dużymi balkonami,859000,61.72,3,https://www.otodom.pl/pl/oferta/piekne-mieszkanie-z-dwoma-duzymi-balkonami-ID4vGvx,Toruń,no address,Winnica
Jar | Watzenrodego | 2 Pokoje | 47 m2,559000,47,2,https://www.otodom.pl/pl/oferta/jar-watzenrodego-2-pokoje-47-m2-ID4vywl,Toruń,no address,Wrzosy
"Jar | Watzenrodego 45 | 2 Pokoje | 41,45 m2",398500,41.45,2,https://www.otodom.pl/pl/oferta/jar-watzenrodego-45-2pokoje-41-45-m2-ID4vHx5,Toruń,no address,Wrzosy
4 pokoje po kapitalnym remoncie - Prześliczna Perełka,549000,57.21,4,https://www.otodom.pl/pl/oferta/4-pokoje-po-kapitalnym-remoncie-przesliczna-perelka-ID4uR1t,Toruń,ul. Ludwika Rydygiera ,Rubinkowo
Przestronne mieszkanie z kamienicznym klimatem,600000,90.55,3,https://www.otodom.pl/pl/oferta/przestronne-mieszkanie-z-kamienicznym-klimatem-ID4v2vr,Toruń,no address,Mokre
Mieszkanie w centrum Torunia przy Galerii Copernicus,470000,68.3,3,https://www.otodom.pl/pl/oferta/mieszkanie-w-centrum-torunia-przy-galerii-copernicus-ID4vUvS,Toruń,ul. Targowa ,Jakubskie Przedmieście
Pierwsze piętro z loggią.,550000,64,3,https://www.otodom.pl/pl/oferta/pierwsze-pietro-z-loggia-ID4tJ5b,Toruń,no address,Chełmińskie Przedmieście
3-pokojowe cegła ul. Polna,550000,58.93,3,https://www.otodom.pl/pl/oferta/3-pokojowe-cegla-ul-polna-ID4vRXm,Toruń,ul. Polna ,Wrzosy
2-pokojowe I piętro cegła z garażem ul. Faustyny,545000,54.24,2,https://www.otodom.pl/pl/oferta/2-pokojowe-i-pietro-cegla-z-garazem-ul-faustyny-ID4vOPc,Toruń,no address,Stare Miasto
"Mieszkanie w kamienicy, Bydgoskie Przedmieście, 50,71m2",400609,50.71,2,https://www.otodom.pl/pl/oferta/mieszkanie-w-kamienicy-bydgoskie-przedmiescie-50-71m2-ID4vQgd,Toruń,ul. Marii Konopnickiej ,Bydgoskie Przedmieście
"Mieszkania w zabytkowej kamienicy, Bydgoskie Przedmieście, 66 m2 /50m2",610000,66.42,3,https://www.otodom.pl/pl/oferta/mieszkania-w-zabytkowej-kamienicy-bydgoskie-przedmiescie-66-m2-50m2-ID4vbHC,Toruń,no address,Bydgoskie Przedmieście
2-pokojowe mieszkanie 33m2 + ogródek Bezpośrednio,no price,33.4,2,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-33m2-ogrodek-bezposrednio-ID4uEyy,Toruń,ul. Jana Heweliusza ,Wrzosy
Grasera 12 | apartament 3-pok. | M03,808909,68.09,3,https://www.otodom.pl/pl/oferta/grasera-12-apartament-3-pok-m03-ID4tT5x,Toruń,ul. Grasera 12/Strobanda 14,Wrzosy
3 pokoje* po remoncie*blok* 2 piętro,439000,48.2,3,https://www.otodom.pl/pl/oferta/3-pokoje-po-remoncieblok-2-pietro-ID4vVAU,Toruń,no address,Rubinkowo
Gagarina-Pierwsze Piętro-4 Pokoje,539000,57.8,4,https://www.otodom.pl/pl/oferta/gagarina-pierwsze-pietro-4-pokoje-ID4vcYJ,Toruń,no address,Stare Miasto
Mokre-Dwa Pokoje-Tanio-Piękny Widok,329000,37.9,2,https://www.otodom.pl/pl/oferta/mokre-dwa-pokoje-tanio-piekny-widok-ID4vtMx,Toruń,no address,Mokre
Śliczne Wojska Polskiego-Trzy Pokoje-Umk,489000,45.6,3,https://www.otodom.pl/pl/oferta/sliczne-wojska-polskiego-trzy-pokoje-umk-ID4vR6D,Toruń,no address,Mokre
3 pokoje- cegła- duża piwnica- garaż-centrum,499000,73.38,3,https://www.otodom.pl/pl/oferta/3-pokoje-cegla-duza-piwnica-garaz-centrum-ID4vWxY,Toruń,no address,Mokre
Kawalerka Z Możliwością Dwóch Pokoi - Cegła,315000,34.4,1,https://www.otodom.pl/pl/oferta/kawalerka-z-mozliwoscia-dwoch-pokoi-cegla-ID4x1ib,Toruń,no address,Chełmińskie Przedmieście
Świetna lokalizacja - Małachowskiego,465000,51,2,https://www.otodom.pl/pl/oferta/swietna-lokalizacja-malachowskiego-ID4x2oZ,Toruń,ul. Stanisława Małachowskiego ,Chełmińskie Przedmieście
Jedyny taki Apartament na Toruńskiej starówce!,999000,198,2,https://www.otodom.pl/pl/oferta/jedyny-taki-apartament-na-torunskiej-starowce-ID4uFpG,Toruń,ul. Mostowa ,Stare Miasto
"Gagarina 3 pokoje po remoncie, balkon, piwnica",429000,48.2,3,https://www.otodom.pl/pl/oferta/gagarina-3-pokoje-po-remoncie-balkon-piwnica-ID4x2oF,Toruń,ul. Jurija Gagarina ,Bielany
Rozkładowe mieszkanie na Skarpie,480000,66,3,https://www.otodom.pl/pl/oferta/rozkladowe-mieszkanie-na-skarpie-ID4t1CU,Toruń,no address,Na Skarpie
